49,,, Nº 2445 SAN FRANSISCO DE ASIS,2445,CAMBYRETÁ,SAN FRANSISCO,RURAL,,R4 Z1,,E.B.B.,DIRECCIÓN,1,,,ITAPUA,7
50,,, Nº 2445 SAN FRANSISCO DE ASIS,2445,CAMBYRETÁ,Bº SAN FRANCISCO,RURAL,,R4 Z1,125,E.B.B.,,3,,"DETERIORO DE PINTURA , ABERTURAS Y RAJADURAS EN LAS PAREDES",ITAPUA,7
1,,, Nº 2507 MANUEL ORTIZ GUERRERO,2507,TOMÁS ROMERO P.,NATALIO KM. 38 - 4TA LINEA,RURAL,_,R4 Z2,819,E.B.B.,AULAS, - ,1,PORQUE NECESITA REPARACIÓN DE PAREDES,ITAPUA,7
2,,, Nº 2609 JULIO AFARA PAVIA,2609,TOMÁS ROMERO P.,NATALIO KM. 47,URBANA,_,R4 Z2,351,E.B.B.,AULAS, - ,8,"RAJADURA EN LAS PAREDES, DETERIORO DE PINTURAS.",ITAPUA,7
227,0,17800,ESC. BÁS. N° 2656  SANTO TOMÁS,2656,LUQUE,SILVIO PARODI E/ VILLALBA SOSA,RURAL,--------------------------,R2,700,N1,SALA DE PROFESORES,1,,"EL TECHO LLENO DE TERMITAS,RAJADURAS EN LAS PAREDES,DETERIORO DE LA PINTURA,PISO.",CENTRAL,11
292,0,17800,ESC. BÁS. N° 2656  SANTO TOMÁS,2656,LUQUE,SILVIO PARODI E/ VILLALBA SOSA,RURAL,--------------------------,R2,700,N1,SALA DE PROFESORES,1,,"EL TECHO LLENO DE TERMITAS,RAJADURAS EN LAS PAREDES,DETERIORO DE LA PINTURA,PISO.",CENTRAL,11
75,0 211004,11261,ESC. BAS. Nº 2673 GRAL PATRICIO ESCOBAR,2673,UNIÓN,SANTA CATALINA,RURAL,-,12,70,E.B.B.,AULAS,5,5,PARA MEJORAR LOS ASPECTOS ESTÉTICOS DE LA INSTITUCIÓN ,SAN PEDRO,2
24,,,ESC. BÁS. Nº 2926 CRISTO REY,2926,JUAN DE MENA,GUIDO ALMADA II,RURAL,GUIDO ALMADA II,4,98,E.I. Y E.B.B.,"AULAS, BAÑOS",4,8,REPARACIÓN DE AULAS Y BAÑOS URGENTE,CORDILLERA,3
56,,,ESC. BÁS. Nº 2926 CRISTO REY,2926,JUAN DE MENA,ASENTAMIENTO,RURAL,GUIDO ALMADA II,4,100,E.B.B.,AULAS,4,-,MEJORAR EL AMBIENTE FISICO ESCOLAR,CORDILLERA,3
112,1106032,17687,ESC. BÁS. N° 2957 JUKYRYMI,2957,ITAUGUA,CÑIA. ÑU POÍ,URBANA,--------------------------,R4,20,E.E.B.,SECRETARÍA,,1,"PARA ADAPTAR EL BAÑO QUE YA NO ES UTILIZADO, PARA LA SECRETARIA",CENTRAL,11
198,1106032,17687,ESC. BÁS. N° 2957 JUKYRYMI,2957,ITAUGUA,CÑIA. ÑU POÍ,URBANA,--------------------------,R4,20,E.E.B.,AULAS,,1,"PARA ADAPTAR EL BAÑO QUE YA NO ES UTILIZADO, PARA EL AULA DE JARDIN",CENTRAL,11
